"taxon","class","guild","max_length","presence","mobility","side","limit","method","lat1","lon1","site1","temp1","total1","lat2","lon2","site2","temp2","total2","lat","dLon","dTemp","pop_trend","ecoregion","dSST","i.ecoregion","i.dSST"
"Caesio teres","Actinopterygii","tropical",40,"common","pelagic site attached","west","southern","abundance weighted quantiles",-20.6195000000001,116.518519999999,"WA66",26.0508755129959,133.0625,-17.0818099999998,119.655180000001,"NWS80",28.3015458276334,35.6666666666667,-20.6195000000001,3.136660000002,2.2506703146375,-1.3166023968599,"Exmouth to Broome",0.502160934141109,"Exmouth to Broome",0.502160934141109
"Cirripectes alleni","Actinopterygii","tropical",6.5,"rare","benthic","west","southern","abundance weighted quantiles",-20.6195000000001,116.518519999999,"WA66",26.4035704514364,9.90476190476191,-15.0667,124.33321,"NWS164",29.0081121751026,4.125,-20.6195000000001,7.81469000000125,2.6045417236662,-0.875949622191251,"Exmouth to Broome",0.502160934141109,"Exmouth to Broome",0.502160934141109
"Diadema setosum","Echinoidea","tropical",30,"common","benthic","west","southern","abundance weighted quantiles",-20.6195000000001,116.518519999999,"WA66",26.2272229822161,36.7127192982456,-23.0980000000003,113.794290000001,"NMP28",24.2654582763338,3,-20.6195000000001,-2.72422999999768,-1.96176470588235,-2.50451098123329,"Exmouth to Broome",0.502160934141109,"Exmouth to Broome",0.502160934141109
"Pomacentrus nigromanus","Actinopterygii","tropical",9,"rare","Demersal","west","southern","abundance weighted quantiles",-20.6195000000001,116.518519999999,"WA66",26.2272229822161,105.372549019608,-20.6195000000001,116.518519999999,"WA66",26.7566757865937,213.125,-20.6195000000001,0,0.529452804377552,0.70437669158667,"Exmouth to Broome",0.502160934141109,"Exmouth to Broome",0.502160934141109
"Siganus lineatus","Actinopterygii","tropical",43,"rare","Demersal","west","southern","abundance weighted quantiles",-20.6195000000001,116.518519999999,"WA66",26.4035704514364,5.25,-21.8524499999993,114.169540000002,"NMP-BF2",24.9100820793434,1,-20.6195000000001,-2.34897999999703,-1.493488372093,-1.65822807660353,"Exmouth to Broome",0.502160934141109,"Exmouth to Broome",0.502160934141109
"Pentapodus vitta","Actinopterygii","tropical",31,"common","Demersal","both","northern","abundance weighted quantiles",-21.6367800000003,114.390769999999,"NWS157",25.6219425444596,1,-23.0919700000007,113.73966,"NMP19",24.2876470588235,4.68333333333333,-21.6367800000003,-0.651109999999306,-1.3342954856361,1.54401010711165,"Exmouth to Broome",-0.431077743446899,"Exmouth to Broome",-0.431077743446899
"Labropsis australis","Actinopterygii","tropical",10.5,"common","Demersal","west","southern","abundance weighted quantiles",-21.6367800000003,114.390769999999,"NWS157",25.9072777017784,1,-10.3292,132.70797,"NT23",28.6720519835841,2,-21.6367800000003,18.3172000000008,2.7647742818057,0.693147180559945,"Exmouth to Broome",-0.431077743446899,"Exmouth to Broome",-0.431077743446899
"Chromis weberi","Actinopterygii","tropical",13.5,"common","Demersal","west","southern","abundance weighted quantiles",-21.6507899999998,114.376910000002,"NWS158",25.7922982216142,103.466666666667,-17.6102,118.974699999999,"NWS56",28.0337893296854,258.730769230769,-21.6507899999998,4.59778999999693,2.2414911080712,0.91653852036317,"Exmouth to Broome",-0.439903132395639,"Exmouth to Broome",-0.439903132395639
"Echinostrephus aciculatus","Echinoidea","tropical",2.2,"common","benthic","west","southern","abundance weighted quantiles",-21.6507899999998,114.376910000002,"NWS158",25.7922982216142,20.2,-17.6102,118.974699999999,"NWS56",28.0337893296854,8.9,-21.6507899999998,4.59778999999693,2.2414911080712,-0.819631327669065,"Exmouth to Broome",-0.439903132395639,"Exmouth to Broome",-0.439903132395639
"Ecsenius bicolor","Actinopterygii","tropical",11,"common","benthic","west","southern","abundance weighted quantiles",-21.6507899999998,114.376910000002,"NWS158",25.7922982216142,1.33333333333333,-17.5021800000001,118.962760000001,"NWS63",28.0813953488372,3.15789473684211,-21.6507899999998,4.58584999999839,2.289097127223,0.862223510603879,"Exmouth to Broome",-0.439903132395639,"Exmouth to Broome",-0.439903132395639
