"taxon","class","guild","max_length","presence","mobility","side","limit","method","lat1","lon1","site1","temp1","total1","lat2","lon2","site2","temp2","total2","lat","dLon","dTemp","pop_trend","ecoregion","dSST","i.ecoregion","i.dSST"
"Kyphosus vaigiensis","Actinopterygii","tropical",70,"rare","pelagic site attached","both","northern","abundance weighted quantiles",-9.97456000000006,144.694,"CS209",27.1434336525308,6.75,-12.2169999999999,123.003920000001,"NWS14",28.8109575923393,1,-9.97456000000006,-21.6900799999986,1.6675239398085,-1.90954250488444,"Gulf of Papua",0.425537912839342,"Gulf of Papua",0.425537912839342
"Monotaxis heterodon","Actinopterygii","tropical",60,"common","Demersal","both","northern","abundance weighted quantiles",-9.97456000000006,144.694,"CS209",27.1434336525308,6.075,-10.1050500000001,144.685129999999,"CS204",27.4489329685363,4.36458333333333,-9.97456000000006,-0.00887000000037119,0.305499316005502,-0.330659260772311,"Gulf of Papua",0.425537912839342,"Gulf of Papua",0.425537912839342
"Mulloidichthys vanicolensis","Actinopterygii","tropical",38,"rare","Demersal","both","northern","abundance weighted quantiles",-9.97456000000006,144.694,"CS209",27.1434336525308,93.1,-9.97456000000006,144.694,"CS209",27.6504787961696,168.833333333333,-9.97456000000006,0,0.507045143638802,0.595237850737607,"Gulf of Papua",0.425537912839342,"Gulf of Papua",0.425537912839342
"Parapercis clathrata","Actinopterygii","tropical",24,"common","benthic","both","northern","abundance weighted quantiles",-9.97456000000006,144.694,"CS209",27.1434336525308,3.45833333333333,-10.3225900000001,132.712160000001,"NT22",28.6717373461012,2.27777777777778,-9.97456000000006,-11.9818399999986,1.5283036935704,-0.417586468640509,"Gulf of Papua",0.425537912839342,"Gulf of Papua",0.425537912839342
"Plagiotremus laudandus","Actinopterygii","tropical",8,"common","benthic","both","northern","abundance weighted quantiles",-9.97456000000006,144.694,"CS209",27.1434336525308,4.8,-9.96836999999991,144.694560000002,"CS207",27.5948153214774,1.52222222222222,-9.97456000000006,0.000560000002622019,0.451381668946599,-1.14844466241599,"Gulf of Papua",0.425537912839342,"Gulf of Papua",0.425537912839342
"Pomacanthus imperator","Actinopterygii","tropical",40,"rare","Demersal","both","northern","abundance weighted quantiles",-9.97456000000006,144.694,"CS209",27.1434336525308,1.27272727272727,-10.3292,132.70797,"NT23",28.6720519835841,1,-9.97456000000006,-11.9860299999996,1.5286183310533,-0.241162056816888,"Gulf of Papua",0.425537912839342,"Gulf of Papua",0.425537912839342
"Scarus altipinnis","Actinopterygii","tropical",60,"common","Demersal","both","northern","abundance weighted quantiles",-9.97456000000006,144.694,"CS209",27.1434336525308,6.10714285714286,-10.2879300000003,143.717589999995,"TS7",27.4340310077519,2.78571428571429,-9.97456000000006,-0.976410000004563,0.290597355221102,-0.784954729813068,"Gulf of Papua",0.425537912839342,"Gulf of Papua",0.425537912839342
"Siganus punctatus","Actinopterygii","tropical",40,"rare","Demersal","both","northern","abundance weighted quantiles",-9.97456000000006,144.694,"CS209",27.1434336525308,2.4,-12.0889699999999,143.25535,"GBR240",27.1961285909713,2.25,-9.97456000000006,-1.43864999999948,0.0526949384404993,-0.0645385211375712,"Gulf of Papua",0.425537912839342,"Gulf of Papua",0.425537912839342
"Triaenodon obesus","Elasmobranchii","tropical",213,"common","pelagic non-site attached","both","northern","abundance weighted quantiles",-9.97456000000006,144.694,"CS209",27.1434336525308,1.1,-10.1155799999999,144.457769999998,"CS200",27.3972503419973,1.14285714285714,-9.97456000000006,-0.236230000001939,0.2538166894665,0.0382212128201977,"Gulf of Papua",0.425537912839342,"Gulf of Papua",0.425537912839342
"Amblyglyphidodon leucogaster","Actinopterygii","tropical",13,"common","Demersal","both","northern","abundance weighted quantiles",-9.98876999999994,144.691300000003,"CS208",27.1434336525308,50.0243902439024,-9.97456000000006,144.694,"CS209",27.5669835841313,40.4057971014493,-9.98876999999994,0.00269999999676429,0.423549931600501,-0.213537424084918,"Gulf of Papua",0.436183391479553,"Gulf of Papua",0.436183391479553
"Carcharhinus amblyrhynchos","Elasmobranchii","tropical",255,"common","pelagic non-site attached","both","northern","abundance weighted quantiles",-9.98876999999994,144.691300000003,"CS208",27.1434336525308,2.75,-9.97456000000006,144.694,"CS209",27.483488372093,2.33333333333333,-9.98876999999994,0.00269999999676429,0.3400547195622,-0.164303051291276,"Gulf of Papua",0.436183391479553,"Gulf of Papua",0.436183391479553
"Chaetodon plebeius","Actinopterygii","tropical",15,"common","Demersal","both","northern","abundance weighted quantiles",-9.98876999999994,144.691300000003,"CS208",27.1434336525308,3.52287581699346,-10.0663100000001,143.874459999999,"TS13",27.2881121751026,3.20512820512821,-9.98876999999994,-0.816840000003452,0.144678522571802,-0.094525558343907,"Gulf of Papua",0.436183391479553,"Gulf of Papua",0.436183391479553
"Chaetodon speculum","Actinopterygii","tropical",18,"common","Demersal","both","northern","abundance weighted quantiles",-9.98876999999994,144.691300000003,"CS208",27.1434336525308,2.18181818181818,-12.16167,143.65236,"GBR92",27.2846922024624,1.42857142857143,-9.98876999999994,-1.03894000000273,0.141258549931599,-0.423483613610843,"Gulf of Papua",0.436183391479553,"Gulf of Papua",0.436183391479553
"Chromis lepidolepis","Actinopterygii","tropical",9,"common","Demersal","both","northern","abundance weighted quantiles",-9.98876999999994,144.691300000003,"CS208",27.1434336525308,43.9038461538462,-10.1432500000001,144.4407,"CS199",27.3883584131327,24.3484848484848,-9.98876999999994,-0.250600000002663,0.244924760601901,-0.589532304237281,"Gulf of Papua",0.436183391479553,"Gulf of Papua",0.436183391479553
"Epibulus insidiator","Actinopterygii","tropical",54,"common","Demersal","both","northern","abundance weighted quantiles",-9.98876999999994,144.691300000003,"CS208",27.1434336525308,1.77314814814815,-10.2325700000001,144.586840000002,"CS198",27.5766894664843,1.25438596491228,-9.98876999999994,-0.104460000000643,0.433255813953501,-0.346110399631069,"Gulf of Papua",0.436183391479553,"Gulf of Papua",0.436183391479553
"Mulloidichthys flavolineatus","Actinopterygii","tropical",43,"common","Demersal","both","northern","abundance weighted quantiles",-9.98876999999994,144.691300000003,"CS208",27.1434336525308,18.6,-9.96836999999991,144.694560000002,"CS207",27.6504787961696,75.6111111111111,-9.98876999999994,0.00325999999938631,0.507045143638802,1.40244166403615,"Gulf of Papua",0.436183391479553,"Gulf of Papua",0.436183391479553
"Plectorhinchus lineatus","Actinopterygii","tropical",72,"rare","Demersal","both","northern","abundance weighted quantiles",-9.98876999999994,144.691300000003,"CS208",27.1434336525308,2.6,-9.98876999999994,144.691300000003,"CS208",27.6503967168263,3.83333333333333,-9.98876999999994,0,0.506963064295501,0.388223301673658,"Gulf of Papua",0.436183391479553,"Gulf of Papua",0.436183391479553
"Pterocaesio trilineata","Actinopterygii","tropical",20,"rare","pelagic site attached","both","northern","abundance weighted quantiles",-9.98876999999994,144.691300000003,"CS208",27.1434336525308,58,-10.2325700000001,144.586840000002,"CS198",27.5766894664843,40.5833333333333,-9.98876999999994,-0.104460000000643,0.433255813953501,-0.35708553725183,"Gulf of Papua",0.436183391479553,"Gulf of Papua",0.436183391479553
"Scarus oviceps","Actinopterygii","tropical",35,"common","Demersal","both","northern","abundance weighted quantiles",-9.98876999999994,144.691300000003,"CS208",27.1434336525308,2.5,-9.95129999999994,144.031780000001,"TS21",27.3741039671683,2.38636363636364,-9.98876999999994,-0.65952000000209,0.2306703146375,-0.0465200156348929,"Gulf of Papua",0.436183391479553,"Gulf of Papua",0.436183391479553
"Siganus vulpinus","Actinopterygii","tropical",25,"common","Demersal","both","northern","abundance weighted quantiles",-9.98876999999994,144.691300000003,"CS208",27.1434336525308,2.92307692307692,-10.21767,144.595400000001,"CS195",27.5766894664843,1.98611111111111,-9.98876999999994,-0.0959000000017056,0.433255813953501,-0.386458291020997,"Gulf of Papua",0.436183391479553,"Gulf of Papua",0.436183391479553
"Amblyeleotris guttata","Actinopterygii","tropical",11,"rare","benthic","both","northern","abundance weighted quantiles",-10.0387499999999,144.691980000002,"CS193",27.1813269493844,1.625,-9.95129999999994,144.031780000001,"TS21",27.3741039671683,1.75,-10.0387499999999,-0.660200000001652,0.1927770177839,0.0741079721537218,"Gulf of Papua",0.374923823623231,"Gulf of Papua",0.374923823623231
"Arothron nigropunctatus","Actinopterygii","tropical",33,"common","Demersal","both","northern","abundance weighted quantiles",-10.0387499999999,144.691980000002,"CS193",27.1813269493844,1.57142857142857,-10.32567,132.706080000001,"NT21",28.6717373461012,1.16666666666667,-10.0387499999999,-11.9859000000017,1.4904103967168,-0.297834443915799,"Gulf of Papua",0.374923823623231,"Gulf of Papua",0.374923823623231
"Chaetodon bennetti","Actinopterygii","tropical",20,"rare","Demersal","both","northern","abundance weighted quantiles",-10.0387499999999,144.691980000002,"CS193",27.1813269493844,1,-10.1155799999999,144.457769999998,"CS200",27.5833789329685,1,-10.0387499999999,-0.234210000004737,0.402051983584101,0,"Gulf of Papua",0.374923823623231,"Gulf of Papua",0.374923823623231
"Chromis xanthura","Actinopterygii","tropical",15,"common","Demersal","both","northern","abundance weighted quantiles",-10.0387499999999,144.691980000002,"CS193",27.1813269493844,20.2586206896552,-10.21767,144.595400000001,"CS195",27.5766894664843,21.3529411764706,-10.0387499999999,-0.0965800000012678,0.395362517099901,0.0526090741767947,"Gulf of Papua",0.374923823623231,"Gulf of Papua",0.374923823623231
"Fusigobius duospilus","Actinopterygii","tropical",6,"rare","benthic","both","northern","abundance weighted quantiles",-10.0387499999999,144.691980000002,"CS193",27.1813269493844,6.20454545454545,-12.40092,143.372010000001,"GBR237",27.3896443228454,1.75,-10.0387499999999,-1.31997000000109,0.208317373461,-1.26566637333128,"Gulf of Papua",0.374923823623231,"Gulf of Papua",0.374923823623231
"Nemateleotris magnifica","Actinopterygii","tropical",9,"common","Demersal","both","northern","abundance weighted quantiles",-10.0387499999999,144.691980000002,"CS193",27.1813269493844,3.43333333333333,-10.0387499999999,144.691980000002,"CS193",27.5578248974008,3.58333333333333,-10.0387499999999,0,0.3764979480164,0.0427618593380819,"Gulf of Papua",0.374923823623231,"Gulf of Papua",0.374923823623231
"Synodus binotatus","Actinopterygii","tropical",18,"rare","benthic","both","northern","abundance weighted quantiles",-10.0387499999999,144.691980000002,"CS193",27.1813269493844,1.33333333333333,-11.97961,123.38074,"NWS5",28.8591244870041,1,-10.0387499999999,-21.3112400000019,1.6777975376197,-0.287682072451781,"Gulf of Papua",0.374923823623231,"Gulf of Papua",0.374923823623231
"Aprion virescens","Actinopterygii","tropical",112,"common","pelagic site attached","both","northern","abundance weighted quantiles",-10.1155799999999,144.457769999998,"CS200",27.1323939808482,1.95,-10.1441400000001,144.576260000001,"CS211",27.6034610123119,1,-10.1155799999999,0.118490000003732,0.471067031463701,-0.667829372575655,"Torres Strait Northern Great Barrier Reef",0.360120758182845,"Torres Strait Northern Great Barrier Reef",0.360120758182845
"Balistoides conspicillum","Actinopterygii","tropical",50,"rare","Demersal","both","northern","abundance weighted quantiles",-10.1155799999999,144.457769999998,"CS200",27.1323939808482,1.73333333333333,-10.07613,144.4715,"CS201",27.4152941176471,1.58333333333333,-10.1155799999999,0.0137300000021128,0.282900136798901,-0.0905140075408319,"Torres Strait Northern Great Barrier Reef",0.360120758182845,"Torres Strait Northern Great Barrier Reef",0.360120758182845
"Chaetodon ulietensis","Actinopterygii","tropical",15,"common","Demersal","both","northern","abundance weighted quantiles",-10.1155799999999,144.457769999998,"CS200",27.1323939808482,1.95098039215686,-10.52274,143.09259,"TS4",27.7966210670315,1.66666666666667,-10.1155799999999,-1.36517999999739,0.664227086183299,-0.157506387674231,"Torres Strait Northern Great Barrier Reef",0.360120758182845,"Torres Strait Northern Great Barrier Reef",0.360120758182845
"Cheilodipterus artus","Actinopterygii","tropical",18.7,"rare","pelagic site attached","both","northern","abundance weighted quantiles",-10.1155799999999,144.457769999998,"CS200",27.1323939808482,3.7,-11.9762600000001,123.337570000001,"NWS12",28.8562790697674,9.875,-10.1155799999999,-21.1201999999961,1.7238850889192,0.981673491137007,"Torres Strait Northern Great Barrier Reef",0.360120758182845,"Torres Strait Northern Great Barrier Reef",0.360120758182845
"Gnathodentex aureolineatus","Actinopterygii","tropical",30,"common","Demersal","both","northern","abundance weighted quantiles",-10.1155799999999,144.457769999998,"CS200",27.1323939808482,14.15,-10.1441400000001,144.576260000001,"CS211",27.6034610123119,22,-10.1155799999999,0.118490000003732,0.471067031463701,0.441327829269069,"Torres Strait Northern Great Barrier Reef",0.360120758182845,"Torres Strait Northern Great Barrier Reef",0.360120758182845
"Gnatholepis cauerensis","Actinopterygii","tropical",9,"common","benthic","both","northern","abundance weighted quantiles",-10.1155799999999,144.457769999998,"CS200",27.1323939808482,7.8,-12.2119200000001,123.05053,"NWS180",28.8100547195622,11.5322580645161,-10.1155799999999,-21.4072399999972,1.677660738714,0.39102442395337,"Torres Strait Northern Great Barrier Reef",0.360120758182845,"Torres Strait Northern Great Barrier Reef",0.360120758182845
"Labroides dimidiatus","Actinopterygii","tropical",14,"common","Demersal","both","northern","abundance weighted quantiles",-10.1155799999999,144.457769999998,"CS200",27.1323939808482,9.23232323232323,-10.2879300000003,143.717589999995,"TS7",27.4177154582763,7.26754385964912,-10.1155799999999,-0.740180000002624,0.285321477428102,-0.239292332847438,"Torres Strait Northern Great Barrier Reef",0.360120758182845,"Torres Strait Northern Great Barrier Reef",0.360120758182845
"Naso brevirostris","Actinopterygii","tropical",60,"common","Demersal","both","northern","abundance weighted quantiles",-10.1155799999999,144.457769999998,"CS200",27.1323939808482,9.41071428571429,-10.1155799999999,144.457769999998,"CS200",27.5213360693114,8.52777777777778,-10.1155799999999,0,0.388942088463235,-0.0985200486751259,"Torres Strait Northern Great Barrier Reef",0.360120758182845,"Torres Strait Northern Great Barrier Reef",0.360120758182845
"Siganus corallinus","Actinopterygii","tropical",35,"common","Demersal","both","northern","abundance weighted quantiles",-10.1155799999999,144.457769999998,"CS200",27.1323939808482,2.13888888888889,-10.0599000000001,143.883000000001,"TS14",27.4215731874145,2.22222222222222,-10.1155799999999,-0.574769999996192,0.289179206566299,0.0382212128201979,"Torres Strait Northern Great Barrier Reef",0.360120758182845,"Torres Strait Northern Great Barrier Reef",0.360120758182845
"Abudefduf vaigiensis","Actinopterygii","tropical",20,"common","Demersal","both","northern","abundance weighted quantiles",-10.1441400000001,144.576260000001,"CS211",27.0887961696306,17.9090909090909,-10.1050500000001,144.685129999999,"CS204",27.4489329685363,24,-10.1441400000001,0.108869999997836,0.3601367989057,0.292745374408328,"Torres Strait Northern Great Barrier Reef",0.514664842681167,"Torres Strait Northern Great Barrier Reef",0.514664842681167
"Chaetodon lunulatus","Actinopterygii","tropical",14,"common","Demersal","both","northern","abundance weighted quantiles",-10.1441400000001,144.576260000001,"CS211",27.0887961696306,3.04504504504505,-11.7613299999999,143.65236,"GBR90",27.3934199726402,5,-10.1441400000001,-0.923900000001282,0.304623803009598,0.495922218263416,"Torres Strait Northern Great Barrier Reef",0.514664842681167,"Torres Strait Northern Great Barrier Reef",0.514664842681167
"Melichthys vidua","Actinopterygii","tropical",40,"rare","Demersal","both","northern","abundance weighted quantiles",-10.1441400000001,144.576260000001,"CS211",27.0887961696306,2.70833333333333,-12.1790500000001,123.07097,"NWS184",28.8311764705882,2.625,-10.1441400000001,-21.5052900000008,1.7423803009576,-0.0312525435041044,"Torres Strait Northern Great Barrier Reef",0.514664842681167,"Torres Strait Northern Great Barrier Reef",0.514664842681167
"Naso lituratus","Actinopterygii","tropical",46,"common","Demersal","both","northern","abundance weighted quantiles",-10.1441400000001,144.576260000001,"CS211",27.0887961696306,3.03448275862069,-10.1441400000001,144.576260000001,"CS211",27.6034610123119,2.41228070175439,-10.1441400000001,0,0.514664842681299,-0.229468335219657,"Torres Strait Northern Great Barrier Reef",0.514664842681167,"Torres Strait Northern Great Barrier Reef",0.514664842681167
"Naso tonganus","Actinopterygii","tropical",60,"common","Demersal","both","northern","abundance weighted quantiles",-10.1441400000001,144.576260000001,"CS211",27.0887961696306,4.83333333333333,-12.1755199999999,123.06644,"NWS183",28.8311764705882,3.38888888888889,-10.1441400000001,-21.5098200000013,1.7423803009576,-0.355034254481272,"Torres Strait Northern Great Barrier Reef",0.514664842681167,"Torres Strait Northern Great Barrier Reef",0.514664842681167
"Parupeneus pleurostigma","Actinopterygii","tropical",33,"common","Demersal","both","northern","abundance weighted quantiles",-10.1441400000001,144.576260000001,"CS211",27.0887961696306,3.78571428571429,-10.3744800000002,144.533909999999,"CS191",27.4307592339261,5.7,-10.1441400000001,-0.0423500000027559,0.341963064295548,0.409231590903641,"Torres Strait Northern Great Barrier Reef",0.514664842681167,"Torres Strait Northern Great Barrier Reef",0.514664842681167
"Pseudocheilinus hexataenia","Actinopterygii","tropical",10,"common","Demersal","both","northern","abundance weighted quantiles",-10.1441400000001,144.576260000001,"CS211",27.0887961696306,6.28205128205128,-10.03484,144.698929999999,"CS194",27.4716415868673,9.22727272727273,-10.1441400000001,0.122669999997726,0.382845417236698,0.384466961268391,"Torres Strait Northern Great Barrier Reef",0.514664842681167,"Torres Strait Northern Great Barrier Reef",0.514664842681167
"Valenciennea strigata","Actinopterygii","tropical",18,"common","benthic","both","northern","abundance weighted quantiles",-10.1441400000001,144.576260000001,"CS211",27.0887961696306,2.5,-11.4898899999999,143.849750000001,"GBR88",27.4165253077975,2.375,-10.1441400000001,-0.72651000000053,0.327729138166898,-0.0512932943875506,"Torres Strait Northern Great Barrier Reef",0.514664842681167,"Torres Strait Northern Great Barrier Reef",0.514664842681167
"Zebrasoma scopas","Actinopterygii","tropical",40,"common","Demersal","both","northern","abundance weighted quantiles",-10.1441400000001,144.576260000001,"CS211",27.0887961696306,13.7829457364341,-10.1432500000001,144.4407,"CS199",27.3883584131327,20.4814814814815,-10.1441400000001,-0.13556000000122,0.299562243502098,0.396089123805828,"Torres Strait Northern Great Barrier Reef",0.514664842681167,"Torres Strait Northern Great Barrier Reef",0.514664842681167
"Echinaster luzonicus","Asteroidea","tropical",20,"rare","benthic","both","northern","abundance weighted quantiles",-10.2879300000003,143.717589999995,"TS7",27.0074965800274,2.35,-10.3225900000001,132.712160000001,"NT22",28.6717373461012,4,-10.2879300000003,-11.005429999994,1.6642407660738,0.531879032963823,"Torres Strait Northern Great Barrier Reef",0.38908018240242,"Torres Strait Northern Great Barrier Reef",0.38908018240242
"Ecsenius bicolor","Actinopterygii","tropical",11,"common","benthic","both","northern","abundance weighted quantiles",-10.2879300000003,143.717589999995,"TS7",27.0074965800274,20.2424242424242,-10.3225900000001,132.712160000001,"NT22",28.6717373461012,33.0714285714286,-10.2879300000003,-11.005429999994,1.6642407660738,0.49088911240081,"Torres Strait Northern Great Barrier Reef",0.38908018240242,"Torres Strait Northern Great Barrier Reef",0.38908018240242
"Synodus dermatogenys","Actinopterygii","tropical",24,"common","benthic","both","northern","abundance weighted quantiles",-10.2879300000003,143.717589999995,"TS7",27.0074965800274,1,-12.19673,123.04095,"NWS178",28.8375512995896,1,-10.2879300000003,-20.6766399999952,1.8300547195622,0,"Torres Strait Northern Great Barrier Reef",0.38908018240242,"Torres Strait Northern Great Barrier Reef",0.38908018240242
"Paraplotosus butleri","Actinopterygii","tropical",32.5,"rare","Demersal","east","southern","abundance weighted quantiles",-10.2879300000003,143.717589999995,"TS7",27.0074965800274,2,-12.0889699999999,143.25535,"GBR240",27.1961285909713,1,-10.2879300000003,-0.462239999994921,0.188632010943898,-0.693147180559945,"Torres Strait Northern Great Barrier Reef",0.38908018240242,"Torres Strait Northern Great Barrier Reef",0.38908018240242
"Halichoeres trimaculatus","Actinopterygii","tropical",27,"common","Demersal","both","northern","abundance weighted quantiles",-10.4413599999999,144.45293,"CS187",27.0615595075239,24.5,-11.969,123.3794,"NWS4",28.8591244870041,14.9117647058824,-10.4413599999999,-21.0735299999999,1.7975649794802,-0.496522638575659,"Torres Strait Northern Great Barrier Reef",0.344874601003255,"Torres Strait Northern Great Barrier Reef",0.344874601003255
"Hemigymnus melapterus","Actinopterygii","tropical",90,"common","Demersal","both","northern","abundance weighted quantiles",-10.4413599999999,144.45293,"CS187",27.0615595075239,2.72826086956522,-10.4342200000001,144.452430000001,"CS186",27.2995348837209,4.14880952380952,-10.4413599999999,-0.000499999998368139,0.237975376196999,0.419157069274521,"Torres Strait Northern Great Barrier Reef",0.344874601003255,"Torres Strait Northern Great Barrier Reef",0.344874601003255
"Macropharyngodon meleagris","Actinopterygii","tropical",15,"common","Demersal","both","northern","abundance weighted quantiles",-10.4413599999999,144.45293,"CS187",27.0615595075239,2.59090909090909,-10.4342200000001,144.452430000001,"CS186",27.2995348837209,2.82407407407407,-10.4413599999999,-0.000499999998368139,0.237975376196999,0.0861717350069576,"Torres Strait Northern Great Barrier Reef",0.344874601003255,"Torres Strait Northern Great Barrier Reef",0.344874601003255
"Scarus globiceps","Actinopterygii","tropical",27,"rare","Demersal","both","northern","abundance weighted quantiles",-10.4413599999999,144.45293,"CS187",27.0615595075239,2,-13.8914000000002,146.553119999998,"CS155",27.4614090287277,2,-10.4413599999999,2.10018999999846,0.399849521203834,0,"Torres Strait Northern Great Barrier Reef",0.344874601003255,"Torres Strait Northern Great Barrier Reef",0.344874601003255
"Cheilinus oxycephalus","Actinopterygii","tropical",17,"rare","Demersal","both","northern","abundance weighted quantiles",-10.44697,144.433470000003,"CS189",27.0551162790698,1.5,-10.3744800000002,144.533909999999,"CS191",27.5379890560876,1.625,-10.44697,0.100439999996041,0.4828727770178,0.0800427076735364,"Torres Strait Northern Great Barrier Reef",0.328612468243083,"Torres Strait Northern Great Barrier Reef",0.328612468243083
"Chromis atripectoralis","Actinopterygii","tropical",12,"common","Demersal","both","northern","abundance weighted quantiles",-10.44697,144.433470000003,"CS189",27.0551162790698,78.3649425287356,-9.97456000000006,144.694,"CS209",27.5391518467852,163.553921568627,-10.44697,0.260529999997004,0.484035567715399,0.735766065766971,"Torres Strait Northern Great Barrier Reef",0.328612468243083,"Torres Strait Northern Great Barrier Reef",0.328612468243083
"Halichoeres marginatus","Actinopterygii","tropical",18,"common","Demersal","both","northern","abundance weighted quantiles",-10.44697,144.433470000003,"CS189",27.0551162790698,2.18518518518519,-10.4453299999999,144.449179999998,"CS185",27.3636160510716,2.23076923076923,-10.44697,0.0157099999959769,0.308499772001802,0.0206458946235469,"Torres Strait Northern Great Barrier Reef",0.328612468243083,"Torres Strait Northern Great Barrier Reef",0.328612468243083
"Chaetodon rainfordi","Actinopterygii","tropical",15,"common","Demersal","both","northern","abundance weighted quantiles",-12.2812100000001,143.407089999998,"GBR47",26.847756497948,4,-14.6894200000002,145.46617,"GBR221",27.1023529411765,1.33333333333333,-12.2812100000001,2.05908000000159,0.254596443228497,-1.09861228866811,"Torres Strait Northern Great Barrier Reef",0.432809222526366,"Torres Strait Northern Great Barrier Reef",0.432809222526366
"Arothron hispidus","Actinopterygii","tropical",50,"rare","Demersal","both","northern","abundance weighted quantiles",-12.2824099999998,143.410919999998,"GBR46",26.847756497948,1,-12.2809100000002,143.403019999999,"GBR48",27.1168809849521,1,-12.2824099999998,-0.00789999999932434,0.269124487004099,0,"Torres Strait Northern Great Barrier Reef",0.441462854179811,"Torres Strait Northern Great Barrier Reef",0.441462854179811
"Plagiotremus tapeinosoma","Actinopterygii","tropical",14,"common","benthic","both","northern","abundance weighted quantiles",-12.38175,143.756720000002,"GBR56",26.7166621067031,2.31818181818182,-11.97452,123.321360000001,"NWS10",28.856976744186,1.83333333333333,-12.38175,-20.435360000001,2.1403146374829,-0.234647375795694,"Torres Strait Northern Great Barrier Reef",0.483798707723398,"Torres Strait Northern Great Barrier Reef",0.483798707723398
"Stethojulis bandanensis","Actinopterygii","tropical",15,"common","Demersal","both","northern","abundance weighted quantiles",-12.38175,143.756720000002,"GBR56",26.7166621067031,2.85087719298246,-11.9744799999999,123.381159999999,"NWS6",28.8591244870041,5.41111111111111,-12.38175,-20.3755600000034,2.142462380301,0.640827718817083,"Torres Strait Northern Great Barrier Reef",0.483798707723398,"Torres Strait Northern Great Barrier Reef",0.483798707723398
"Anampses meleagrides","Actinopterygii","tropical",22,"rare","Demersal","both","northern","abundance weighted quantiles",-12.3837500000001,143.761970000003,"GBR55",26.7166621067031,1,-9.98876999999994,144.691300000003,"CS208",27.6503967168263,3,-12.3837500000001,0.929330000000192,0.933734610123199,1.09861228866811,"Torres Strait Northern Great Barrier Reef",0.527099863200842,"Torres Strait Northern Great Barrier Reef",0.527099863200842
"Scarus schlegeli","Actinopterygii","tropical",40,"common","Demersal","both","northern","abundance weighted quantiles",-12.3837500000001,143.761970000003,"GBR55",26.7166621067031,6.72222222222222,-12.16167,143.65236,"GBR92",27.2846922024624,3.33333333333333,-12.3837500000001,-0.109610000002533,0.568030095759298,-0.70144598337464,"Torres Strait Northern Great Barrier Reef",0.527099863200842,"Torres Strait Northern Great Barrier Reef",0.527099863200842
"Fromia monilis","Asteroidea","tropical",7,"rare","benthic","both","northern","abundance weighted quantiles",-12.38391,143.771999999998,"GBR57",26.7170588235294,1,-13.92629,121.902650000001,"NWS174",28.8633789329685,1.375,-12.38391,-21.8693499999974,2.1463201094391,0.318453731118535,"Torres Strait Northern Great Barrier Reef",0.486688619633902,"Torres Strait Northern Great Barrier Reef",0.486688619633902
"Echinostrephus aciculatus","Echinoidea","tropical",2.2,"common","benthic","both","northern","abundance weighted quantiles",-12.87385,143.815100000003,"GBR59",26.7217510259918,1.25,-10.1155799999999,144.457769999998,"CS200",27.5833789329685,30.6,-12.87385,0.642669999994894,0.8616279069767,3.19785645764413,"Torres Strait Northern Great Barrier Reef",0.521915184678384,"Torres Strait Northern Great Barrier Reef",0.521915184678384
"Acanthurus nigrofuscus","Actinopterygii","tropical",21,"common","Demersal","both","northern","abundance weighted quantiles",-12.8769499999999,143.820340000002,"GBR60",26.7221477428181,11.1,-11.9805900000001,123.335229999999,"NWS11",28.856976744186,41.9038461538462,-12.8769499999999,-20.4851100000033,2.1348290013679,1.3284325080449,"Torres Strait Northern Great Barrier Reef",0.521518467852101,"Torres Strait Northern Great Barrier Reef",0.521518467852101
"Cypho purpurascens","Actinopterygii","tropical",7.5,"rare","benthic","both","northern","abundance weighted quantiles",-12.8769499999999,143.820340000002,"GBR60",26.7221477428181,1,-12.38175,143.756720000002,"GBR56",27.1636251709986,1,-12.8769499999999,-0.0636199999996734,0.441477428180502,0,"Torres Strait Northern Great Barrier Reef",0.521518467852101,"Torres Strait Northern Great Barrier Reef",0.521518467852101
"Chrysiptera caesifrons","Actinopterygii","tropical",7,"rare","Demersal","both","northern","abundance weighted quantiles",-13.8184999999999,144.282130000003,"GBR62",26.6384678522572,17.4375,-10.32567,132.706080000001,"NT21",28.6717373461012,17.3333333333333,-13.8184999999999,-11.5760500000024,2.033269493844,-0.00599162966826675,"Torres Strait Northern Great Barrier Reef",0.390247525116646,"Torres Strait Northern Great Barrier Reef",0.390247525116646
"Ecsenius fourmanoiri","Actinopterygii","tropical",4.9,"rare","benthic","both","northern","abundance weighted quantiles",-13.9806600000001,144.500239999999,"GBR42",26.6590150478796,8,-29.42234,159.11073,"EMR12",22.5899042407661,41.25,-13.9806600000001,14.6104900000012,-4.0691108071135,1.64020957110085,"Torres Strait Northern Great Barrier Reef",0.488549931600854,"Torres Strait Northern Great Barrier Reef",0.488549931600854
"Apogon doederleini","Actinopterygii","tropical",14,"common","pelagic site attached","both","northern","abundance weighted quantiles",-14.6947299999999,145.459210000001,"GBR220",26.8536525307798,11.5,-10.2879300000003,143.717589999995,"TS7",27.3687688098495,13,-14.6947299999999,-1.74162000000587,0.515116279069698,0.122602322092332,"Torres Strait Northern Great Barrier Reef",0.163398413132459,"Torres Strait Northern Great Barrier Reef",0.163398413132459
