"site_code","year","mean_sst"
"NMP-P2",2008,24.5860655737705
"NMP-P2",2009,24.2805753424658
"NMP-P2",2010,24.3395890410959
"NMP-P2",2011,25.0652602739726
"NMP-P2",2012,24.624262295082
"NMP-P2",2013,24.9616712328767
"NMP-P2",2014,24.5681643835616
"NMP-P2",2015,24.4396712328767
"NMP-P2",2016,23.9709016393443
"NMP-P2",2017,24.4250684931507
"NMP-P2",2018,24.0652328767123
"NMP-P2",2019,24.018794520548
"NMP-P2",2020,24.4975409836066
"NMP-P2",2021,24.8938904109589
"NMP-P2",2022,24.7744931506849
"NMP24",2008,24.6744535519126
"NMP24",2009,24.3734794520548
"NMP24",2010,24.4372054794521
"NMP24",2011,25.1274246575342
"NMP24",2012,24.7055464480874
"NMP24",2013,25.0351780821918
"NMP24",2014,24.6396712328767
"NMP24",2015,24.5093698630137
"NMP24",2016,24.0667486338798
"NMP24",2017,24.5095068493151
"NMP24",2018,24.1515342465753
"NMP24",2019,24.1099726027397
"NMP24",2020,24.5877322404372
"NMP24",2021,24.9784109589041
"NMP24",2022,24.8530410958904
"NMP10",2008,24.6744535519126
"NMP10",2009,24.3734794520548
"NMP10",2010,24.4372054794521
"NMP10",2011,25.1274246575342
"NMP10",2012,24.7055464480874
"NMP10",2013,25.0351780821918
"NMP10",2014,24.6396712328767
"NMP10",2015,24.5093698630137
"NMP10",2016,24.0667486338798
"NMP10",2017,24.5095068493151
"NMP10",2018,24.1515342465753
"NMP10",2019,24.1099726027397
"NMP10",2020,24.5877322404372
"NMP10",2021,24.9784109589041
"NMP10",2022,24.8530410958904
"NMP-C1",2008,24.7157650273224
"NMP-C1",2009,24.420794520548
"NMP-C1",2010,24.4850684931507
"NMP-C1",2011,25.1584657534247
"NMP-C1",2012,24.7475136612022
"NMP-C1",2013,25.0658630136986
"NMP-C1",2014,24.677698630137
"NMP-C1",2015,24.5454520547946
"NMP-C1",2016,24.1144808743169
"NMP-C1",2017,24.5501917808219
"NMP-C1",2018,24.2003561643836
"NMP-C1",2019,24.1635342465754
"NMP-C1",2020,24.6411475409836
"NMP-C1",2021,25.018794520548
"NMP-C1",2022,24.8929589041096
"NMP-C3",2008,24.7475136612022
"NMP-C3",2009,24.4572602739726
"NMP-C3",2010,24.5211232876712
"NMP-C3",2011,25.1830684931507
"NMP-C3",2012,24.7801366120219
"NMP-C3",2013,25.0901369863013
"NMP-C3",2014,24.7077534246575
"NMP-C3",2015,24.5750136986301
"NMP-C3",2016,24.1531147540983
"NMP-C3",2017,24.5887397260274
"NMP-C3",2018,24.2426301369863
"NMP-C3",2019,24.209205479452
"NMP-C3",2020,24.6900546448088
"NMP-C3",2021,25.0552328767123
"NMP-C3",2022,24.9282739726027
"NMP-S3",2008,24.7475136612022
"NMP-S3",2009,24.4572602739726
"NMP-S3",2010,24.5211232876712
"NMP-S3",2011,25.1830684931507
"NMP-S3",2012,24.7801366120219
"NMP-S3",2013,25.0901369863013
"NMP-S3",2014,24.7077534246575
"NMP-S3",2015,24.5750136986301
"NMP-S3",2016,24.1531147540983
"NMP-S3",2017,24.5887397260274
"NMP-S3",2018,24.2426301369863
"NMP-S3",2019,24.209205479452
"NMP-S3",2020,24.6900546448088
"NMP-S3",2021,25.0552328767123
"NMP-S3",2022,24.9282739726027
"NMP1",2008,24.7475136612022
"NMP1",2009,24.4572602739726
"NMP1",2010,24.5211232876712
"NMP1",2011,25.1830684931507
"NMP1",2012,24.7801366120219
"NMP1",2013,25.0901369863013
"NMP1",2014,24.7077534246575
"NMP1",2015,24.5750136986301
"NMP1",2016,24.1531147540983
"NMP1",2017,24.5887397260274
"NMP1",2018,24.2426301369863
"NMP1",2019,24.209205479452
"NMP1",2020,24.6900546448088
"NMP1",2021,25.0552328767123
"NMP1",2022,24.9282739726027
"NMP-C4",2008,24.7157650273224
"NMP-C4",2009,24.420794520548
"NMP-C4",2010,24.4850684931507
"NMP-C4",2011,25.1584657534247
"NMP-C4",2012,24.7475136612022
"NMP-C4",2013,25.0658630136986
"NMP-C4",2014,24.677698630137
"NMP-C4",2015,24.5454520547946
"NMP-C4",2016,24.1144808743169
"NMP-C4",2017,24.5501917808219
"NMP-C4",2018,24.2003561643836
"NMP-C4",2019,24.1635342465754
"NMP-C4",2020,24.6411475409836
"NMP-C4",2021,25.018794520548
"NMP-C4",2022,24.8929589041096
"NMP29",2008,24.7157650273224
"NMP29",2009,24.420794520548
"NMP29",2010,24.4850684931507
"NMP29",2011,25.1584657534247
"NMP29",2012,24.7475136612022
"NMP29",2013,25.0658630136986
"NMP29",2014,24.677698630137
"NMP29",2015,24.5454520547946
"NMP29",2016,24.1144808743169
"NMP29",2017,24.5501917808219
"NMP29",2018,24.2003561643836
"NMP29",2019,24.1635342465754
"NMP29",2020,24.6411475409836
"NMP29",2021,25.018794520548
"NMP29",2022,24.8929589041096
"NMP11",2008,24.6744535519126
"NMP11",2009,24.3734794520548
"NMP11",2010,24.4372054794521
"NMP11",2011,25.1274246575342
"NMP11",2012,24.7055464480874
"NMP11",2013,25.0351780821918
"NMP11",2014,24.6396712328767
"NMP11",2015,24.5093698630137
"NMP11",2016,24.0667486338798
"NMP11",2017,24.5095068493151
"NMP11",2018,24.1515342465753
"NMP11",2019,24.1099726027397
"NMP11",2020,24.5877322404372
"NMP11",2021,24.9784109589041
"NMP11",2022,24.8530410958904
"NMP-S2",2008,24.8575956284153
"NMP-S2",2009,24.5788767123288
"NMP-S2",2010,24.6427945205479
"NMP-S2",2011,25.2740273972603
"NMP-S2",2012,24.8873224043716
"NMP-S2",2013,25.1941917808219
"NMP-S2",2014,24.8235616438356
"NMP-S2",2015,24.6885753424658
"NMP-S2",2016,24.297650273224
"NMP-S2",2017,24.7503561643836
"NMP-S2",2018,24.3969041095891
"NMP-S2",2019,24.3870410958904
"NMP-S2",2020,24.8701366120219
"NMP-S2",2021,25.2015890410959
"NMP-S2",2022,25.0427671232877
"NMP9",2008,24.7475136612022
"NMP9",2009,24.4572602739726
"NMP9",2010,24.5211232876712
"NMP9",2011,25.1830684931507
"NMP9",2012,24.7801366120219
"NMP9",2013,25.0901369863013
"NMP9",2014,24.7077534246575
"NMP9",2015,24.5750136986301
"NMP9",2016,24.1531147540983
"NMP9",2017,24.5887397260274
"NMP9",2018,24.2426301369863
"NMP9",2019,24.209205479452
"NMP9",2020,24.6900546448088
"NMP9",2021,25.0552328767123
"NMP9",2022,24.9282739726027
