"taxon","family","class","guild","limit","side","lat1","lat2","dLat","lon1","lon2","dLon","site1","site2","N_site","temp1","temp2","dTemp","total_log1","total_log2","pop_trend","presence","range","trophic_level","trophic_group","max_length","water_column","habitat","max_depth","therm_max","therm_mid","sgi","region","latitude","longitude","dSST"
"Cheilodactylus vestitus","Cheilodactylidae","Actinopterygii","temperate","northern","east",-24.88209,-24.8397000000001,0.0423899999999584,152.488969999999,152.47916,-0.00980999999964638,"QLD4","QLD5",84,23.5761149110807,24.1778109452736,0.601696034192898,2.94591014905531,3.07944154167984,0.133531392624522,"common",365,3,"Benthic invertivore",35,"Demersal","rock",20,27.1925,21.60375,10.8978596,"N",-24.88209,152.48897,0.520172217632197
"Cheilodipterus artus","Apogonidae","Actinopterygii","tropical","southern","east",-23.89878,-19.2302600000002,4.66851999999974,152.41618,152.325940000002,-0.0902399999977206,"GBR2","CS4",54,24.8693433652531,26.1781668946648,1.3088235294117,1.69314718055995,3.39789527279837,1.70474809223843,"rare",2856,4.1,"Planktivore",18.7,"pelagic site attached","coral",20,31.6502,27.4229,7.063688,"N",-23.89878,152.41618,0.0998768809848976
"Cheilodipterus artus","Apogonidae","Actinopterygii","tropical","southern","west",-14.05597,-22.8690500000002,-8.81308000000013,121.958469999999,113.764429999998,-8.19404000000084,"NWS33","NMP-S1",54,28.8597537619699,24.566853625171,-4.2929001367989,6.92425579741453,6.99396142730657,0.0697056298920371,"rare",2856,4.1,"Planktivore",18.7,"pelagic site attached","coral",20,31.6502,27.4229,7.063688,"N",-14.05597,121.95847,0.00980848153220037
"Cheilodipterus artus","Apogonidae","Actinopterygii","tropical","northern","both",-10.1155799999998,-12.0604,-1.94482000000019,144.457769999998,136.611069999999,-7.84669999999812,"CS200","NT50",54,27.1323939808482,28.3361688311688,1.2037748503206,3.99573227355399,4.09104245335832,0.0953101798043252,"rare",2856,4.1,"Planktivore",18.7,"pelagic site attached","coral",20,31.6502,27.4229,7.063688,"N",-10.11558,144.45777,0.2648563611491
"Cheilodipterus isostigmus","Apogonidae","Actinopterygii","tropical","northern","both",-22.9287500000008,-10.5190499999999,12.4097000000009,113.779370000003,143.092940000001,29.3135699999982,"NMP-S2","TS5",55,24.7931737346101,27.8977777777778,3.1046040431677,-Inf,5.04305126783455,Inf,"rare",3780,4.2,"Planktivore",11,"pelagic site attached","coral",40,29.867,27.672,0.7758468,"SW",-22.92875,113.77937,0.7256973380278
"Cheilodipterus isostigmus","Apogonidae","Actinopterygii","tropical","southern","west",-23.3324599999992,-17.5473199999998,5.78513999999942,113.779229999992,118.9668,5.18757000000812,"NMP-S4","NWS59",55,24.5381258549932,28.0782763337893,3.5401504787961,2.6094379124341,7.96318998587024,5.35375207343614,"rare",3780,4.2,"Planktivore",11,"pelagic site attached","coral",40,29.867,27.672,0.7758468,"SW",-23.33246,113.77923,0.7359051901356
"Cheilodipterus macrodon","Apogonidae","Actinopterygii","tropical","southern","west",-23.1770099999995,-23.1692499999995,0.00776000000000465,113.759870000005,113.757080000003,-0.0027900000012977,"NMP-C1","NMP29",166,24.6528317373461,24.7364535352211,0.0836217978749509,6.2257466737132,6.70711026474888,0.481363591035674,"common",3258,4,"Planktivore",25,"pelagic site attached","coral",40,31.1635,26.891875,17.7862332,"SW",-23.17701,113.75987,-0.278403265232907
"Cheilodipterus macrodon","Apogonidae","Actinopterygii","tropical","southern","east",-31.5113899999997,-30.20228,1.30910999999967,159.05416,153.265810000003,-5.78834999999668,"LHI48","SI7",166,21.363023255814,22.6387140902873,1.2756908344733,4.61091791264422,5.8283137373023,1.21739582465808,"common",3258,4,"Planktivore",25,"pelagic site attached","coral",40,31.1635,26.891875,17.7862332,"SE",-31.51139,159.05416,-0.209265584236
"Cheilodipterus macrodon","Apogonidae","Actinopterygii","tropical","northern","both",-10.0387499999998,-9.98876999999994,0.0499799999998611,144.691980000003,144.691300000003,-0.000679999999590564,"CS193","CS208",166,27.1813269493844,27.5391244870041,0.357797537619703,3.484906649788,4.09104245335832,0.606135803570316,"common",3258,4,"Planktivore",25,"pelagic site attached","coral",40,31.1635,26.891875,17.7862332,"N",-10.03875,144.69198,0.7794489126846
"Chelidonura inornata","Aglajidae","Gastropoda","tropical","southern","west",-12.16237,-15.9758000000001,-3.81343000000012,143.648589999998,145.829100000002,2.18051000000386,"GBR54","GBR217",42,26.7574418604651,27.1466210670315,0.3891792065664,2.94591014905531,3.63905732961526,0.693147180559945,"rare",1204,NA,"Benthic invertivore",4,"benthic","coral",NA,30.5105,24.583875,NA,"N",-12.16237,143.64859,0.5543775649795
"Chelidonura inornata","Aglajidae","Gastropoda","tropical","southern","east",-31.5708200000006,-31.5279399999999,0.0428800000007001,159.068239999995,159.045749999997,-0.0224899999982711,"LHI13","LHI39",42,21.8316689466484,21.81853625171,-0.013132694938399,3.484906649788,4.36729582998647,0.882389180198474,"rare",1204,NA,"Benthic invertivore",4,"benthic","coral",NA,30.5105,24.583875,NA,"SE",-31.57082,159.06824,-3.0153022192484
"Chelidonura inornata","Aglajidae","Gastropoda","tropical","northern","both",-10.7424500000001,-9.95129999999991,0.791150000000163,141.058499999999,144.031780000001,2.97328000000186,"GC14","TS21",42,27.6595075239398,27.3741039671683,-0.285403556771502,1,1.69314718055995,0.693147180559945,"rare",1204,NA,"Benthic invertivore",4,"benthic","coral",NA,30.5105,24.583875,NA,"N",-10.74245,141.0585,0.419022827497898
"Chelmon marginalis","Chaetodontidae","Actinopterygii","tropical","southern","east",-20.9362400000003,-15.4907999999997,5.44544000000061,154.397230000001,147.087230000001,-7.31000000000009,"CS74","CS175",74,25.5406703146375,27.4461969904241,1.9055266757866,4.63758615972639,3.63905732961526,-0.998528830111127,"rare",1319,3.5,"Corallivore",18,"Demersal","coral",30,32.352,27.4385,20.7929794,"N",-20.93624,154.39723,0.0910259917920015
"Chelmon marginalis","Chaetodontidae","Actinopterygii","tropical","southern","west",-23.1123400000005,-21.67022,1.44212000000055,113.750419999997,114.352509999998,0.602090000001496,"NMP1","NWS159",74,24.6837209302326,25.2371135430917,0.553392612859099,6.35658627467201,7.89972310728487,1.54313683261286,"rare",1319,3.5,"Corallivore",18,"Demersal","coral",30,32.352,27.4385,20.7929794,"SW",-23.11234,113.75042,0.718606108856001
"Chelmon marginalis","Chaetodontidae","Actinopterygii","tropical","northern","both",-10.2875,-10.28793,-0.000430000000022801,143.709780000002,143.717589999994,0.00780999999250298,"TS8","TS7",74,27.0720554035568,27.702613093945,0.630557690388198,3.56494935746154,4.97029191355212,1.40534255609059,"rare",1319,3.5,"Corallivore",18,"Demersal","coral",30,32.352,27.4385,20.7929794,"N",-10.2875,143.70978,0.772996365728599
"Chelmon rostratus","Chaetodontidae","Actinopterygii","tropical","southern","east",-23.89878,-27.4135099999995,-3.51472999999956,152.41618,153.525189999998,1.10900999999785,"GBR2","MBMP2",58,24.8693433652531,24.6228749220894,-0.2464684431637,4.78418963391826,4.78418963391826,0,"rare",1267,3.5,"Benthic invertivore",20,"Demersal","coral",25,31.382,26.9265,11.6535527,"N",-23.89878,152.41618,0.0998768809848976
"Chelmon rostratus","Chaetodontidae","Actinopterygii","tropical","southern","west",-18.0361300000001,-16.93323,1.10290000000015,146.20003,145.984559999998,-0.215470000001574,"GBR187","GBR33",58,26.2860328317373,27.4229353698983,1.136902538161,5.04305126783455,4.49650756146648,-0.54654370636807,"rare",1267,3.5,"Benthic invertivore",20,"Demersal","coral",25,31.382,26.9265,11.6535527,"N",-18.03613,146.20003,-0.0899179206566032
"Chelmon rostratus","Chaetodontidae","Actinopterygii","tropical","northern","both",-12.0889699999999,-12.0889699999999,0,143.255350000001,143.255350000001,0,"GBR240","GBR240",58,26.9875102599179,27.1961285909713,0.208618331053398,2.6094379124341,2.38629436111989,-0.22314355131421,"rare",1267,3.5,"Benthic invertivore",20,"Demersal","coral",25,31.382,26.9265,11.6535527,"N",-12.08897,143.25535,0.208618331053398
